value,label,color
1,January,#a900ff
2,February,#6f02ff
3,March,#020aff
4,April,#0675ff
5,May,#06ffff
6,June,#ffee00
7,July,#ff7700
8,August,#ff0800
9,September,#c20202
10,October,#8b0000
11,November,#0aa602
12,December,#83f27e
